City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Tomatlan,MX,2022-05-16 01:32:58,19.9333,-105.25,74.53,65,16,2.77
58,Agropoli,IT,2022-05-16 01:32:58,40.3469,14.9966,60.44,73,88,3.24
59,Lavrentiya,RU,2022-05-16 01:32:59,65.5833,-171.0,31.53,77,81,10.8
60,Komsomolskiy,UZ,2022-05-16 01:32:59,40.4272,71.7189,59.72,82,1,0.0
61,Batagay,RU,2022-05-16 01:33:00,67.6333,134.6333,29.89,71,100,4.43
62,Chokurdakh,RU,2022-05-16 01:33:00,70.6333,147.9167,21.11,82,100,13.33
63,Viedma,AR,2022-05-16 01:33:01,-40.8135,-62.9967,52.25,75,100,17.2
64,Alofi,NU,2022-05-16 01:33:01,-19.0595,-169.9187,80.49,54,16,13.8
65,Victoria Point,AU,2022-05-16 01:33:02,-27.5833,153.3,82.44,90,3,1.99
66,Suamico,US,2022-05-16 01:33:02,44.6319,-88.0393,71.89,43,40,4.61
67,Khatanga,RU,2022-05-16 01:33:03,71.9667,102.5,32.5,100,100,3.69
68,Bredasdorp,ZA,2022-05-16 01:33:04,-34.5322,20.0403,53.51,77,0,4.45
69,Vadso,NO,2022-05-16 01:33:04,70.0744,29.7487,38.28,87,100,11.5
70,Busselton,AU,2022-05-16 01:33:05,-33.65,115.3333,59.22,66,97,9.33
71,Arys,KZ,2022-05-16 01:33:05,42.4252,68.795,67.15,57,100,3.2
72,Avera,US,2022-05-16 01:33:06,33.194,-82.5271,76.51,78,84,5.26
73,Souillac,MU,2022-05-16 01:33:06,-20.5167,57.5167,73.78,88,40,6.91
74,Bud,US,2022-05-16 01:33:07,39.447,-86.1758,75.15,94,100,6.02
75,Lebu,CL,2022-05-16 01:33:07,-37.6167,-73.65,53.13,67,100,1.83
76,Nishihara,JP,2022-05-16 01:33:08,26.1842,127.7558,65.48,94,75,17.27
77,Dudinka,RU,2022-05-16 01:33:08,69.4058,86.1778,36.39,98,100,5.03
78,College,US,2022-05-16 01:33:09,64.8569,-147.8028,51.75,49,75,10.36
79,Nikolskoye,RU,2022-05-16 01:33:09,59.7035,30.7861,46.87,91,100,7.27
80,Provideniya,RU,2022-05-16 01:33:10,64.3833,-173.3,39.36,75,40,15.99
81,Paraiso,CR,2022-05-16 01:33:10,9.8383,-83.8656,65.41,96,99,1.57
82,Truckee,US,2022-05-16 01:31:59,39.328,-120.1833,71.92,49,0,6.91
83,Waingapu,ID,2022-05-16 01:33:11,-9.6567,120.2641,84.31,69,52,6.91
84,Cherskiy,RU,2022-05-16 01:33:11,68.75,161.3,35.08,84,100,7.31
85,Bluff,NZ,2022-05-16 01:33:12,-46.6,168.3333,55.8,64,11,7.67
86,Luderitz,NA,2022-05-16 01:33:12,-26.6481,15.1594,71.58,27,24,8.25
87,Bac Lieu,VN,2022-05-16 01:33:13,9.285,105.7244,86.74,68,100,9.75
88,Nouadhibou,MR,2022-05-16 01:33:13,20.931,-17.0347,75.18,64,78,19.57
89,Ostrovnoy,RU,2022-05-16 01:33:14,68.0531,39.5131,35.58,86,23,6.76
90,Iskateley,RU,2022-05-16 01:33:15,67.6803,53.1512,34.97,93,100,11.68
