City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Gardabani,GE,2022-05-16 04:10:03,41.4605,45.0928,55.49,71,99,10.27,overcast clouds
153,Takoradi,GH,2022-05-16 04:10:03,4.8845,-1.7554,79.21,86,75,4.38,light rain
154,Yar-Sale,RU,2022-05-16 04:07:28,66.8333,70.8333,39.4,100,100,8.5,overcast clouds
155,Carnarvon,AU,2022-05-16 04:03:09,-24.8667,113.6333,74.46,26,0,3.29,clear sky
156,Saskylakh,RU,2022-05-16 04:02:48,71.9167,114.0833,33.75,100,100,5.41,overcast clouds
157,Soc Trang,VN,2022-05-16 04:10:04,9.6033,105.98,92.07,53,100,9.19,overcast clouds
158,Cabo San Lucas,MX,2022-05-16 04:02:31,22.8909,-109.9124,84.61,39,90,5.99,overcast clouds
159,Pisco,PE,2022-05-16 04:05:55,-13.7,-76.2167,60.03,94,8,3.44,mist
160,Mackenzie,CA,2022-05-16 04:10:05,55.2999,-123.1698,52.02,54,100,9.22,overcast clouds
161,Arua,UG,2022-05-16 04:10:06,3.0201,30.9111,62.85,85,71,1.41,broken clouds
162,Seybaplaya,MX,2022-05-16 04:10:06,19.65,-90.6667,79.09,60,0,12.77,clear sky
163,Igarka,RU,2022-05-16 04:10:07,67.4667,86.5833,43.56,94,100,4.81,overcast clouds
164,Saint-Pierre,RE,2022-05-16 04:06:42,-21.3393,55.4781,73.08,83,75,10.36,broken clouds
165,Labuhan,ID,2022-05-16 04:08:01,-6.8844,112.2051,86.4,69,47,3.44,scattered clouds
166,Izhma,RU,2022-05-16 04:10:07,65.0083,53.9113,39.9,87,100,8.16,overcast clouds
167,Alice Springs,AU,2022-05-16 04:10:08,-23.7,133.8833,74.75,32,40,11.5,scattered clouds
168,Puerto Baquerizo Moreno,EC,2022-05-16 04:10:08,-0.9,-89.6,72.19,91,44,7.81,scattered clouds
169,Vestmanna,FO,2022-05-16 04:08:00,62.1564,-7.1664,45.52,93,75,11.5,broken clouds
170,Aulla,IT,2022-05-16 04:10:09,44.2146,9.9678,61.95,80,42,3.4,scattered clouds
171,Kula,TR,2022-05-16 04:10:10,38.5473,28.6498,60.33,63,1,2.04,clear sky
172,Micheweni,TZ,2022-05-16 04:10:10,-4.9667,39.8333,77.97,79,3,12.37,light rain
173,Arecibo,PR,2022-05-16 04:10:11,18.4724,-66.7157,77.97,82,60,1.01,broken clouds
174,Elizabeth City,US,2022-05-16 04:10:11,36.2946,-76.2511,71.62,87,75,8.05,broken clouds
175,Birao,CF,2022-05-16 04:05:58,10.2849,22.7882,78.62,60,95,2.91,overcast clouds
176,Ayame,CI,2022-05-16 04:10:12,5.6083,-3.1563,74.43,98,100,0.29,overcast clouds
177,Cockburn Town,TC,2022-05-16 04:04:19,21.4612,-71.1419,78.85,83,100,21.36,overcast clouds
178,Cayenne,GF,2022-05-16 04:01:36,4.9333,-52.3333,82.09,1,75,7.0,light rain
179,Klaksvik,FO,2022-05-16 04:02:37,62.2266,-6.589,47.32,97,59,13.49,broken clouds
180,Montalvo,EC,2022-05-16 04:10:13,-1.8,-79.3333,76.01,96,95,2.3,light rain
181,Sleaford,GB,2022-05-16 04:10:14,52.9983,-0.4094,54.86,96,100,11.5,overcast clouds
182,Husavik,IS,2022-05-16 04:02:57,66.0449,-17.3389,44.49,83,60,7.27,broken clouds
183,Malanville,BJ,2022-05-16 04:10:14,11.8685,3.3899,85.68,55,99,9.62,overcast clouds
184,Koila,GR,2022-05-16 04:10:15,40.3333,21.7833,58.71,82,3,5.75,clear sky
185,Gijon,ES,2022-05-16 04:06:47,43.5357,-5.6615,62.46,95,59,1.01,broken clouds
186,Eenhana,NA,2022-05-16 04:10:16,-17.4667,16.3333,60.69,47,3,8.32,clear sky
187,Peniche,PT,2022-05-16 04:07:59,39.3558,-9.3811,63.28,88,100,13.2,overcast clouds
188,Nome,US,2022-05-16 03:58:52,64.5011,-165.4064,36.54,94,93,6.31,overcast clouds
189,Impfondo,CG,2022-05-16 04:10:17,1.6381,18.0667,71.87,94,99,1.68,light rain
190,Evensk,RU,2022-05-16 04:06:21,61.95,159.2333,40.33,84,100,9.55,overcast clouds
191,Naze,JP,2022-05-16 04:10:17,28.3667,129.4833,59.95,90,100,11.79,moderate rain
192,Tabou,CI,2022-05-16 04:10:18,4.423,-7.3528,78.35,86,100,7.65,light rain
193,Borogontsy,RU,2022-05-16 04:10:18,62.6683,131.1683,45.9,59,93,6.17,light rain
194,Greenville,US,2022-05-16 04:07:39,35.6127,-77.3663,71.76,83,0,8.05,clear sky
195,Port Augusta,AU,2022-05-16 04:10:19,-32.5,137.7667,67.26,45,35,13.29,scattered clouds
196,Nikolskoye,RU,2022-05-16 04:02:44,59.7035,30.7861,47.88,91,100,8.28,overcast clouds
197,Portland,US,2022-05-16 04:02:44,45.5234,-122.6762,63.18,74,100,6.91,overcast clouds
198,Cap Malheureux,MU,2022-05-16 04:10:20,-19.9842,57.6142,73.47,88,30,7.0,scattered clouds
199,Katherine,AU,2022-05-16 04:10:20,-14.4667,132.2667,93.52,18,0,9.22,clear sky
200,Harnosand,SE,2022-05-16 04:10:21,62.6323,17.9379,42.82,65,2,19.48,clear sky
201,Sinnamary,GF,2022-05-16 04:10:21,5.3833,-52.95,77.9,91,100,9.33,overcast clouds
202,Pishva,IR,2022-05-16 04:10:22,35.308,51.7267,78.53,14,0,4.36,clear sky
203,Caravelas,BR,2022-05-16 04:04:04,-17.7125,-39.2481,72.75,81,56,5.3,broken clouds
204,Chokurdakh,RU,2022-05-16 04:02:43,70.6333,147.9167,22.87,83,100,14.41,overcast clouds
205,Trinidad,BO,2022-05-16 04:06:25,-14.8333,-64.9,67.91,77,85,8.37,overcast clouds
206,Tazmalt,DZ,2022-05-16 04:10:12,36.3868,4.3989,70.79,46,37,1.7,scattered clouds
207,Viedma,AR,2022-05-16 04:04:00,-40.8135,-62.9967,51.26,77,93,16.17,overcast clouds
208,Pemberton,CA,2022-05-16 04:10:23,50.3164,-122.8027,45.81,100,100,3.31,overcast clouds
209,Olafsvik,IS,2022-05-16 04:04:44,64.8945,-23.7142,47.32,87,100,9.8,overcast clouds
210,Fort Nelson,CA,2022-05-16 04:04:48,58.8053,-122.7002,49.5,61,59,4.36,broken clouds
211,Naryan-Mar,RU,2022-05-16 04:06:51,67.6713,53.087,35.78,92,100,13.02,overcast clouds
212,San Cristobal,VE,2022-05-16 04:05:27,7.7669,-72.225,75.38,96,97,3.09,overcast clouds
213,Ucluelet,CA,2022-05-16 04:04:05,48.9329,-125.5528,52.09,93,100,1.99,overcast clouds
214,Talnakh,RU,2022-05-16 04:07:06,69.4865,88.3972,45.21,91,100,8.59,overcast clouds
215,Okhansk,RU,2022-05-16 04:10:24,57.7186,55.3877,55.47,69,74,3.6,broken clouds
216,Mahebourg,MU,2022-05-16 04:03:39,-20.4081,57.7,77.29,78,75,10.36,broken clouds
217,Santa Luzia,BR,2022-05-16 04:10:25,-19.7697,-43.8514,63.5,85,94,0.92,overcast clouds
218,Beaufort,MY,2022-05-16 04:09:08,5.3473,115.7455,91.85,53,27,4.03,scattered clouds
219,Pierre,US,2022-05-16 04:05:18,44.3683,-100.351,60.06,61,0,7.0,clear sky
220,Praya,CV,2022-05-16 04:07:31,14.9215,-23.5087,71.58,84,98,13.78,overcast clouds
221,Lorengau,PG,2022-05-16 04:06:11,-2.0226,147.2712,84.97,61,65,5.53,broken clouds
222,Maniitsoq,GL,2022-05-16 04:02:33,65.4167,-52.9,31.26,55,6,5.55,clear sky
223,Victoria,HK,2022-05-16 04:01:54,22.2855,114.1577,68.95,90,100,11.99,light rain
224,Semypolky,UA,2022-05-16 04:10:26,50.7167,30.9333,52.88,80,3,6.96,clear sky
225,Labuan,MY,2022-05-16 04:10:27,5.2767,115.2417,83.5,73,23,2.73,few clouds
226,Rapar,IN,2022-05-16 04:10:27,23.5667,70.6333,90.75,39,0,18.07,clear sky
227,Eufaula,US,2022-05-16 04:09:01,31.8913,-85.1455,67.86,94,59,4.79,broken clouds
228,Cairns,AU,2022-05-16 04:10:28,-16.9167,145.7667,88.07,65,1,5.75,clear sky
229,Pinotepa Nacional,MX,2022-05-16 04:10:28,16.3167,-98.0167,79.5,74,25,3.15,scattered clouds
230,Urzhum,RU,2022-05-16 04:10:29,57.1141,49.9996,51.94,71,79,3.89,broken clouds
231,Neryungri,RU,2022-05-16 04:10:29,56.6709,124.6491,33.46,88,100,11.14,snow
232,Hasaki,JP,2022-05-16 04:10:30,35.7333,140.8333,59.4,92,100,18.3,light rain
233,Ylojarvi,FI,2022-05-16 04:10:30,61.5563,23.5961,45.63,63,0,9.22,clear sky
234,Tuatapere,NZ,2022-05-16 04:05:01,-46.1333,167.6833,58.82,69,23,4.94,few clouds
235,Desbiens,CA,2022-05-16 04:10:31,48.4178,-71.9495,54.25,98,100,5.75,light rain
236,Westport,US,2022-05-16 04:05:20,41.1415,-73.3579,66.27,93,70,5.79,broken clouds
237,Athabasca,CA,2022-05-16 04:10:32,54.7169,-113.2854,49.14,62,23,7.81,few clouds
238,Mariental,NA,2022-05-16 04:10:32,-24.6333,17.9667,58.78,36,0,10.18,clear sky
239,Saint Anthony,US,2022-05-16 04:04:49,45.0205,-93.218,63.03,53,0,5.75,clear sky
240,Kaseda,JP,2022-05-16 04:07:48,31.4167,130.3167,63.97,73,100,7.99,light rain
241,Nambucca Heads,AU,2022-05-16 04:10:33,-30.65,153.0,73.0,73,97,7.81,overcast clouds
242,Durusu,TR,2022-05-16 04:10:33,41.3053,28.6767,62.78,93,99,3.0,overcast clouds
243,Buraydah,SA,2022-05-16 04:07:40,26.326,43.975,85.64,12,0,4.76,clear sky
244,Rexburg,US,2022-05-16 04:04:26,43.826,-111.7897,65.71,38,0,3.44,clear sky
245,Stara Vyzhivka,UA,2022-05-16 04:10:34,51.4376,24.44,48.87,80,65,5.3,broken clouds
246,Guadalajara,MX,2022-05-16 04:10:20,20.6667,-103.3333,74.97,38,75,9.22,broken clouds
247,Namtsy,RU,2022-05-16 04:10:35,62.7161,129.6658,44.89,65,100,5.35,light rain
