City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Harper,LR,78.19,light rain,4.375,-7.7169,Screensaver
436,Cabedelo,BR,77.45,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
440,Honiara,SB,83.5,scattered clouds,-9.4333,159.95,Heritage Park Hotel
443,Galle,LK,82.38,broken clouds,6.0367,80.217,Amangalla
448,Damaturu,NG,82.94,scattered clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
450,Boyolangu,ID,85.96,broken clouds,-8.1181,111.8935,Yos ega cv
451,Dambulla,LK,83.41,overcast clouds,7.86,80.6517,Tinaya Treats
452,Charters Towers,AU,81.61,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
454,Nisia Floresta,BR,76.01,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
455,Emerald,AU,81.34,clear sky,-23.5333,148.1667,The Irish Village
457,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
460,Abeche,TD,79.92,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
463,Alamogordo,US,77.02,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
465,Aswan,EG,81.45,overcast clouds,24.0934,32.907,Nuba Nile
468,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
469,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
483,Luwuk,ID,84.36,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
492,Dalbandin,PK,79.21,clear sky,28.8947,64.4101,Sanjrani House
493,Maunabo,PR,76.84,scattered clouds,18.0072,-65.8993,Maunacaribe
500,Balkanabat,TM,76.77,scattered clouds,39.5108,54.3671,Nebitchi Hotel
503,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
504,Brokopondo,SR,76.95,heavy intensity rain,4.75,-55.1667,Matu Island
506,Nelson Bay,AU,77.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
512,Bakel,SN,87.89,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
513,West Bay,KY,80.08,scattered clouds,19.3667,-81.4167,Calypso Cove
514,Mehran,IR,88.5,clear sky,33.1222,46.1646,بوتیک زنانه بهار
518,Mutis,CO,79.32,moderate rain,6.2262,-77.4044,Paraiso Escondido
519,Sabang,ID,84.22,overcast clouds,5.8933,95.3214,Hotel Citra
523,Marsh Harbour,BS,77.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
529,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
535,Barinas,VE,77.29,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
539,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
542,Phonhong,LA,78.46,overcast clouds,18.5007,102.4166,Manyvong Guest House
544,Omboue,GA,77.79,light rain,-1.5746,9.2618,Hotel Olako
551,Olinda,BR,78.53,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
558,Dunmore Town,BS,78.78,overcast clouds,25.5,-76.65,Coral Sands Hotel
562,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
563,Kirakira,SB,84.27,scattered clouds,-10.4544,161.9205,SanBiz Lodge
569,Atambua,ID,85.44,clear sky,-9.1061,124.8925,Kost Alfa Flat
576,Hengshui,CN,84.43,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
578,Banepa,NP,75.52,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
584,Kandrian,PG,86.34,broken clouds,-6.2167,149.55,Kandrian Station
588,Luganville,VU,81.18,broken clouds,-15.5333,167.1667,The Espiritu Hotel
590,Samana,DO,76.1,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
596,Gboko,NG,76.66,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
602,Roebourne,AU,83.93,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
604,Carutapera,BR,76.66,overcast clouds,-1.195,-46.02,Lidera
624,Hobyo,SO,80.91,clear sky,5.3505,48.5268,Iftin hotel hobyo
627,Quang Ngai,VN,79.21,overcast clouds,15.1167,108.8,Central Hotel
630,Itarema,BR,75.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
637,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
640,Sola,VU,80.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
641,Roura,GF,81.97,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
645,Ternate,ID,86.27,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
646,Vanimo,PG,88.45,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
653,Mitsamiouli,KM,79.59,clear sky,-11.3847,43.2844,Foyer ADM
654,Bougouni,ML,80.19,few clouds,11.417,-7.479,Non Stop
656,Port-Gentil,GA,80.2,light rain,-0.7193,8.7815,Fengshui Residence
661,Manokwari,ID,82.6,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
664,Bambanglipuro,ID,86.5,broken clouds,-7.95,110.2833,Puri Brata
665,Kendari,ID,86.43,few clouds,-3.945,122.4989,Hotel Wixel
666,Arlit,NE,78.46,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
669,Princeton,US,81.01,clear sky,25.5384,-80.4089,American Best Inn
670,Hami,CN,79.72,overcast clouds,42.8,93.45,Laoyutang Resort
671,Juegang,CN,78.94,clear sky,32.3174,121.1855,Rudong Y Hotel
673,Gizo,SB,83.39,light rain,-8.103,156.8419,Imagination Island
